"id";"fecha";"importe";"tipoPago";"concepto";"polizas.id";"companias.id";"nroRecibo";"fechaVencimiento"
4402;26/3/2010 00:00:00;145,64;"P";"CUOTA 3";1605;;3;
4403;26/3/2010 00:00:00;61,54;"P";"CUOTA 3";1495;;3;
4404;26/3/2010 00:00:00;22,99;"P";"CUOTA 1";1674;;1;
4405;26/3/2010 00:00:00;253,17;"P";"CUOTA 1";1671;;1;
4406;8/4/2010 00:00:00;211,00;"P";"cuota 3";1568;;3;
4407;30/3/2010 00:00:00;219,00;"P";"cuota 5";1410;;5;
4408;30/3/2010 00:00:00;324,00;"P";"CUOTA 6";1402;;6;
4409;30/3/2010 00:00:00;154,00;"P";"CUOTA 4";1468;;4;
4410;30/3/2010 00:00:00;170,00;"P";"CUOTA 11";1066;;11;
4411;30/3/2010 00:00:00;541,00;"P";"CUOTA 8";1228;;8;
4412;26/2/2010 00:00:00;181,95;"P";"CUOTA 1";1596;;1;
4413;26/3/2010 00:00:00;187,00;"P";"CUOTA 2";1596;;2;
4414;10/3/2010 00:00:00;207,57;"P";"CUOTA 1";1685;;1;
4415;26/3/2010 00:00:00;203,00;"P";"CUOTA 11";1068;;11;
4416;20/3/2010 00:00:00;245,42;"P";"CUOTA 1";1595;;1;
4418;12/4/2010 00:00:00;153,00;"P";"CUOTA 4";1553;;4;
4419;9/3/2010 00:00:00;115,00;"P";"CUOTA 3";1548;;3;
4420;7/4/2010 00:00:00;115,00;"P";"CUOTA 4";1548;;4;
4421;16/3/2010 00:00:00;211,00;"P";"CUOTA 4";1441;;4;
4422;8/4/2010 00:00:00;211,00;"P";"CUOTA 5";1441;;5;
4423;5/4/2010 00:00:00;173,00;"P";"CUOTA 3";1554;;3;
4424;30/3/2010 00:00:00;327,44;"P";"CUOTA 6";1377;;6;
4425;26/3/2010 00:00:00;101,03;"P";"CUOTA 9";1207;;9;
4426;26/3/2010 00:00:00;134,95;"P";"CUOTA 3";1496;;3;
4427;30/3/2010 00:00:00;149,39;"P";"CUOTA 3";1636;;3;
4428;30/3/2010 00:00:00;132,17;"P";"CUOTA 3";1676;;3;
4429;30/3/2010 00:00:00;64,01;"P";"CUOTA 3";1504;;3;
4430;30/3/2010 00:00:00;117,59;"P";"CUOTA 3";1505;;3;
4431;18/2/2010 00:00:00;138,63;"P";"CUOTA 3";1447;;3;
4432;16/3/2010 00:00:00;138,63;"P";"CUOTA 4";1447;;4;
5232;23/10/2009 00:00:00;193,00;"C";"LIQ. 91638";;6;;
5233;9/11/2009 00:00:00;1079,00;"C";"LIQ. 92311";;6;;
5235;11/1/2010 00:00:00;1334,19;"C";"LIQ.94683";;6;;
5427;15/9/2010 00:00:00;200,00;"P";"CUOTA 1";2115;;1;
4433;5/4/2010 00:00:00;163,48;"P";"CUOTA 6";1382;;6;
4434;3/2/2010 00:00:00;163,48;"P";"CUOTA 4";1382;;4;
4435;2/3/2010 00:00:00;208,40;"P";"CUOTA 5";1356;;5;
4436;6/4/2010 00:00:00;208,40;"P";"CUOTA 6";1356;;6;
4437;5/4/2010 00:00:00;196,90;"P";"CUOTA 1";1653;;1;
4438;31/3/2010 00:00:00;167,62;"P";"CUOTA 1";1591;;1;
4439;5/3/2010 00:00:00;346,42;"P";"CUOTA 5";1387;;5;
4440;5/4/2010 00:00:00;346,42;"P";"CUOTA 6";1387;;6;
4441;5/3/2010 00:00:00;283,03;"P";"CUOTA 5";1353;;5;
4442;5/4/2010 00:00:00;283,03;"P";"CUOTA 6";1353;;6;
4443;6/4/2010 00:00:00;240,90;"P";"CUOTA 4";1617;;4;
4444;6/4/2010 00:00:00;45,42;"P";"CUOTA 4";1619;;4;
4445;6/4/2010 00:00:00;-3,18;"P";"CUOTA 4";1620;;4;
4446;6/4/2010 00:00:00;150,00;"P";"CUOTA 6";1357;;6;
4447;9/4/2010 00:00:00;86,53;"P";"CUOTA 6";1357;;6;
4448;9/4/2010 00:00:00;211,37;"P";"CUOTA 2";1707;;2;
4449;9/4/2010 00:00:00;136,51;"P";"CUOTA 3";1637;;3;
4450;16/3/2010 00:00:00;434,37;"P";"CUOTA 4";1384;;4;
4451;12/4/2010 00:00:00;434,37;"P";"CUOTA 5";1384;;5;
4452;9/4/2010 00:00:00;428,14;"P";"CUOTA 1";1715;;1;
4453;18/3/2010 00:00:00;134,00;"P";"CUOTA 1";1713;;1;
4454;15/3/2010 00:00:00;65,00;"P";"CUOTA 1";1714;;1;
4455;6/4/2010 00:00:00;110,74;"P";"CUOTA 1";1716;;1;
4456;15/11/2009 00:00:00;78,50;"P";"CUOTA 4";1283;;4;
4457;12/12/2009 00:00:00;78,50;"P";"CUOTA 5";1283;;5;
4458;17/1/2010 00:00:00;81,32;"P";"CUOTA 6";1283;;6;
4459;22/10/2009 00:00:00;66,04;"P";"CUOTA 3";1173;;3;
4460;25/11/2009 00:00:00;66,04;"P";"CUOTA 4";1173;;4;
4461;22/12/2009 00:00:00;66,04;"P";"CUOTA 5";1173;;5;
4462;4/3/2010 00:00:00;-171,00;"P";"CUOTA 4";1449;;4;
4463;15/4/2010 00:00:00;-171,00;"P";"CUOTA 5";1449;;5;
4464;4/3/2010 00:00:00;192,00;"P";"CUOTA 4";1448;;4;
4465;15/4/2010 00:00:00;192,00;"P";"CUOTA 5";1448;;5;
4466;15/4/2010 00:00:00;155,00;"P";"CUOTA 7";1267;;7;
4467;4/3/2010 00:00:00;155,00;"P";"CUOTA 6";1267;;6;
4468;2/2/2010 00:00:00;155,00;"P";"CUOTA 5";1267;;5;
4469;7/4/2010 00:00:00;1132,00;"C";"LIQ. 98167";;6;;
4470;14/4/2010 00:00:00;252,00;"C";"LIQ.88140";;10;;
4471;7/4/2010 00:00:00;1060,21;"C";"LOTE 280671";;7;;
4473;19/4/2010 00:00:00;3685,36;"C";"LIQ. 14398";;8;;
4474;22/4/2010 00:00:00;1779,29;"C";"LOTE 282051";;7;;
4475;22/4/2010 00:00:00;172,60;"C";"LOTE 282053";;7;;
4476;22/4/2010 00:00:00;545,63;"C";"LIQ. 12252";;2;;
4477;10/3/2010 00:00:00;168,00;"P";"CUOTA 1";1649;;1;
4478;13/4/2010 00:00:00;172,00;"P";"CUOTA 4";1519;;4;
4479;14/4/2010 00:00:00;230,00;"P";"CUOTA 3";1646;;3;
4480;14/4/2010 00:00:00;240,19;"P";"CUOTA 5";1354;;5;
4481;14/4/2010 00:00:00;240,19;"P";"CUOTA 6";1354;;6;
4482;15/3/2010 00:00:00;164,82;"P";"CUOTA 1";1658;;1;
4483;20/4/2010 00:00:00;164,85;"P";"CUOTA 2";1658;;2;
