id;fecha;importe;TIPO_PAGO;CONCEPTO;id_poliza;id_compania;NRO_RECIBO;fechaVencimiento
159;08/04/2008;69;P;CUOTA 9;73;;0
160;03/01/2008;119,48;P;CUOTA 1;74;;0
161;11/02/2008;119,51;P;CUOTA 2;74;;0
162;14/03/2008;119,51;P;CUOTA 3;74;;0
163;10/04/2008;119,51;P;CUOTA 4;74;;0
164;07/01/2008;200;P;CUOTA 2;75;;0
165;08/02/2008;165;P;CUOTA 3;75;;0
166;11/03/2008;165;P;CUOTA 4;75;;0
167;07/04/2008;165;P;CUOTA 5;75;;0
168;07/01/2008;122,7;P;CUOTA 3;76;;0
169;07/02/2008;122,7;P;CUOTA 4;76;;0
170;11/03/2008;122,7;P;CUOTA 5;76;;0
171;10/04/2008;122,7;P;CUOTA 6;76;;0
172;25/01/2008;78;P;CUOTA 1;77;;0
173;25/02/2008;76,75;P;CUOTA 2;77;;0
174;25/03/2008;77,3;P;CUOTA 3;77;;0
175;07/04/2008;133,86;P;CUOTA 1;1;;1
176;07/03/2008;78,41;P;CUOTA 1;78;;0
177;09/04/2008;78,7;P;CUOTA 2;78;;0
178;10/01/2008;78;P;CUOTA 1;79;;0
179;07/02/2008;76,6;P;CUOTA 2;79;;0
180;11/03/2008;77,3;P;CUOTA 3;79;;0
181;11/04/2008;77,3;P;CUOTA 4;79;;0
182;22/01/2008;108,75;P;CUOTA 1;80;;0
183;05/02/2008;109;P;CUOTA 2;80;;0
184;11/03/2008;109;P;CUOTA 3;80;;0
185;08/04/2008;109;P;CUOTA 4;80;;0
186;21/01/2008;188;P;CUOTA 4;82;;0
187;25/02/2008;188;P;CUOTA 5;82;;0
188;28/03/2008;187,23;P;CUOTA 6;82;;0
189;21/02/2008;75,5;P;CUOTA 1;109;;0
190;18/03/2008;80;P;CUOTA 3;109;;0
191;22/04/2008;80;P;CUOTA 3;109;;0
193;15/02/2008;156,05;P;CUOTA 5;162;;0
194;17/03/2008;156,05;P;CUOTA 6;162;;0
195;14/04/2008;166,81;P;CUOTA 1;163;;0
196;21/04/2008;84,37;P;CUOTA 6;49;;0
197;21/04/2008;77,33;P;CUOTA 4;31;;0
198;24/04/2008;80;P;CUOTA 3;28;;0
199;24/04/2008;197,45;P;CUOTA 5;52;;0
200;24/04/2008;78,7;P;CUOTA 3;64;;0
201;14/03/2008;79;P;CUOTA 1;181;;0
202;18/04/2008;79;P;CUOTA 2;181;;0
203;28/04/2008;142;P;CUOTA 6;47;;0
204;28/04/2008;77,3;P;CUOTA4;77;;0
205;29/04/2008;78,4;P;CUOTA 2;48;;0
212;15/01/2008;6234,0498;C;LIQUIDACION Nº 57484;;2;
1218;18/04/2008;1263;C;LIQ. 9125;;8;
1219;05/05/2008;2188,12012;C;LIQ. 9191;;8;
213;30/01/2008;6392,22021;C;LIQUIDACION Nº  5826;;2;
214;10/01/2008;709;C;LIQUIDACION Nº 67042;;6;
